1789716900.002283 server started (2187779): version 3.4, socket /tmp/tmux-1008/default, protocol 8
1789716900.002296 on Linux 7.0.0-28-generic #28~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Jul  1 15:50:57 UTC 2
1789716900.002301 using libevent 2.1.12-stable poll
1789716900.002303 using ncurses 6.4 20240113
1789716900.002512 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1789716900.002515 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1789716900.002516 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1789716900.002518 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1789716900.002520 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1789716900.002522 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1789716900.002525 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1789716900.002527 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1789716900.002529 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1789716900.002531 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1789716900.002533 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1789716900.002535 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1789716900.002537 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1789716900.002538 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1789716900.002540 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1789716900.002542 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1789716900.002544 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1789716900.002546 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1789716900.002548 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1789716900.002550 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1789716900.002552 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1789716900.002555 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1789716900.002556 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1789716900.002558 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1789716900.002560 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1789716900.002562 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1789716900.002564 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1789716900.002565 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1789716900.002568 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1789716900.002569 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1789716900.002573 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1789716900.002575 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1789716900.002577 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1789716900.002579 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1789716900.002581 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1789716900.002582 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1789716900.002584 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1789716900.002586 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1789716900.002588 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1789716900.002590 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1789716900.002592 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1789716900.002594 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1789716900.002596 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1789716900.002598 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1789716900.002600 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1789716900.002601 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1789716900.002603 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1789716900.002605 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1789716900.002608 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1789716900.002610 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1789716900.002611 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1789716900.002613 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1789716900.002616 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1789716900.002617 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1789716900.002619 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1789716900.002621 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1789716900.002623 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1789716900.002625 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1789716900.002627 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1789716900.002628 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1789716900.002631 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1789716900.002633 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1789716900.002635 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1789716900.002637 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1789716900.002640 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1789716900.002642 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1789716900.002644 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1789716900.002646 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1789716900.002648 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1789716900.002650 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1789716900.002652 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1789716900.002654 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1789716900.002656 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1789716900.002658 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1789716900.002660 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1789716900.002662 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1789716900.002663 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1789716900.002666 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1789716900.002667 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1789716900.002670 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1789716900.002671 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1789716900.002674 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1789716900.002675 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1789716900.002677 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1789716900.002681 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1789716900.002683 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1789716900.002685 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1789716900.002687 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1789716900.002689 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1789716900.002690 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1789716900.002693 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1789716900.002694 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1789716900.002697 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1789716900.002698 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1789716900.002700 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1789716900.002702 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1789716900.002705 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1789716900.002706 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1789716900.002708 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1789716900.002710 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1789716900.002712 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1789716900.002714 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1789716900.002716 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1789716900.002718 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1789716900.002720 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1789716900.002722 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1789716900.002724 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1789716900.002725 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1789716900.002727 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1789716900.002729 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1789716900.002731 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1789716900.002733 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1789716900.002735 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1789716900.002736 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1789716900.002738 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1789716900.002741 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1789716900.002743 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1789716900.002745 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1789716900.002747 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1789716900.002749 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1789716900.002751 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1789716900.002753 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1789716900.002755 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1789716900.002756 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1789716900.002759 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1789716900.002760 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1789716900.002762 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1789716900.002764 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1789716900.002767 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1789716900.002768 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1789716900.002770 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1789716900.002778 yylex_token: end at WS
1789716900.002780 yylex_token: bind
1789716900.002782 yylex_token: end at WS
1789716900.002784 yylex_token: -N
1789716900.002786 yylex_token: end at WS
1789716900.002788 yylex_token: Send the prefix key
1789716900.002790 yylex_token: end at WS
1789716900.002792 yylex_token: C-b
1789716900.002794 yylex_token: end at WS
1789716900.002795 yylex_token: send-prefix
1789716900.002798 cmd_parse_build_commands 0:0: bind
1789716900.002802 cmd_parse_build_commands 0:1: -N
1789716900.002805 cmd_parse_build_commands 0:2: Send the prefix key
1789716900.002806 cmd_parse_build_commands 0:3: C-b
1789716900.002808 cmd_parse_build_commands 0:4 0:0: send-prefix
1789716900.002813 cmd_parse_build_commands 0:0: send-prefix
1789716900.002819 args_parse: flags end at 1 of 1
1789716900.002822 cmd_parse_build_commands: send-prefix
1789716900.002824 args_parse_flags: next -N
1789716900.002825 args_parse_flag_argument: -N = Send the prefix key
1789716900.002827 args_parse_flags: next C-b
1789716900.002829 args_parse: flags end at 3 of 5
1789716900.002830 args_parse: 3 = C-b (type STRING)
1789716900.002832 args_parse: 4 = send-prefix (type COMMANDS)
1789716900.002839 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1789716900.002842 cmdq_get_command: [bind-key/0x60e0800389a0] group 2
1789716900.002845 cmdq_append <global>: [bind-key/0x60e0800389a0]
1789716900.002848 yylex_token: end at WS
1789716900.002849 yylex_token: bind
1789716900.002851 yylex_token: end at WS
1789716900.002852 yylex_token: -N
1789716900.002854 yylex_token: end at WS
1789716900.002856 yylex_token: Rotate through the panes
1789716900.002857 yylex_token: end at WS
1789716900.002858 yylex_token: C-o
1789716900.002860 yylex_token: end at WS
1789716900.002861 yylex_token: rotate-window
1789716900.002863 cmd_parse_build_commands 0:0: bind
1789716900.002865 cmd_parse_build_commands 0:1: -N
1789716900.002866 cmd_parse_build_commands 0:2: Rotate through the panes
1789716900.002868 cmd_parse_build_commands 0:3: C-o
1789716900.002869 cmd_parse_build_commands 0:4 0:0: rotate-window
1789716900.002871 cmd_parse_build_commands 0:0: rotate-window
1789716900.002875 args_parse: flags end at 1 of 1
1789716900.002877 cmd_parse_build_commands: rotate-window
1789716900.002878 args_parse_flags: next -N
1789716900.002879 args_parse_flag_argument: -N = Rotate through the panes
1789716900.002881 args_parse_flags: next C-o
1789716900.002883 args_parse: flags end at 3 of 5
1789716900.002884 args_parse: 3 = C-o (type STRING)
1789716900.002886 args_parse: 4 = rotate-window (type COMMANDS)
1789716900.002890 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1789716900.002892 cmdq_get_command: [bind-key/0x60e080038e50] group 10
1789716900.002894 cmdq_append <global>: [bind-key/0x60e080038e50]
1789716900.002896 yylex_token: end at WS
1789716900.002897 yylex_token: bind
1789716900.002898 yylex_token: end at WS
1789716900.002900 yylex_token: -N
1789716900.002902 yylex_token: end at WS
1789716900.002903 yylex_token: Suspend the current client
1789716900.002904 yylex_token: end at WS
1789716900.002906 yylex_token: C-z
1789716900.002907 yylex_token: end at WS
1789716900.002909 yylex_token: suspend-client
1789716900.002911 cmd_parse_build_commands 0:0: bind
1789716900.002912 cmd_parse_build_commands 0:1: -N
1789716900.002914 cmd_parse_build_commands 0:2: Suspend the current client
1789716900.002915 cmd_parse_build_commands 0:3: C-z
1789716900.002917 cmd_parse_build_commands 0:4 0:0: suspend-client
1789716900.002919 cmd_parse_build_commands 0:0: suspend-client
1789716900.002923 args_parse: flags end at 1 of 1
1789716900.002924 cmd_parse_build_commands: suspend-client
1789716900.002926 args_parse_flags: next -N
1789716900.002928 args_parse_flag_argument: -N = Suspend the current client
1789716900.002929 args_parse_flags: next C-z
1789716900.002930 args_parse: flags end at 3 of 5
1789716900.002932 args_parse: 3 = C-z (type STRING)
1789716900.002933 args_parse: 4 = suspend-client (type COMMANDS)
1789716900.002937 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1789716900.002939 cmdq_get_command: [bind-key/0x60e080039fa0] group 18
1789716900.002940 cmdq_append <global>: [bind-key/0x60e080039fa0]
1789716900.002942 yylex_token: end at WS
1789716900.002944 yylex_token: bind
1789716900.002946 yylex_token: end at WS
1789716900.002947 yylex_token: -N
1789716900.002948 yylex_token: end at WS
1789716900.002950 yylex_token: Select next layout
1789716900.002953 yylex_token: end at WS
1789716900.002955 yylex_token: Space
1789716900.002956 yylex_token: end at WS
1789716900.002958 yylex_token: next-layout
1789716900.002959 cmd_parse_build_commands 0:0: bind
1789716900.002961 cmd_parse_build_commands 0:1: -N
1789716900.002963 cmd_parse_build_commands 0:2: Select next layout
1789716900.002964 cmd_parse_build_commands 0:3: Space
1789716900.002966 cmd_parse_build_commands 0:4 0:0: next-layout
1789716900.002968 cmd_parse_build_commands 0:0: next-layout
1789716900.002970 args_parse: flags end at 1 of 1
1789716900.002972 cmd_parse_build_commands: next-layout
1789716900.002973 args_parse_flags: next -N
1789716900.002975 args_parse_flag_argument: -N = Select next layout
1789716900.002976 args_parse_flags: next Space
1789716900.002977 args_parse: flags end at 3 of 5
1789716900.002979 args_parse: 3 = Space (type STRING)
1789716900.002981 args_parse: 4 = next-layout (type COMMANDS)
1789716900.002984 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1789716900.002986 cmdq_get_command: [bind-key/0x60e08003a7e0] group 26
1789716900.002987 cmdq_append <global>: [bind-key/0x60e08003a7e0]
1789716900.002990 yylex_token: end at WS
1789716900.002991 yylex_token: bind
1789716900.002993 yylex_token: end at WS
1789716900.002994 yylex_token: -N
1789716900.002996 yylex_token: end at WS
1789716900.002998 yylex_token: Break pane to a new window
1789716900.002999 yylex_token: end at WS
1789716900.003000 yylex_token: !
1789716900.003002 yylex_token: end at WS
1789716900.003003 yylex_token: break-pane
1789716900.003005 cmd_parse_build_commands 0:0: bind
1789716900.003007 cmd_parse_build_commands 0:1: -N
1789716900.003009 cmd_parse_build_commands 0:2: Break pane to a new window
1789716900.003010 cmd_parse_build_commands 0:3: !
1789716900.003012 cmd_parse_build_commands 0:4 0:0: break-pane
1789716900.003013 cmd_parse_build_commands 0:0: break-pane
1789716900.003016 args_parse: flags end at 1 of 1
1789716900.003017 cmd_parse_build_commands: break-pane
1789716900.003019 args_parse_flags: next -N
1789716900.003020 args_parse_flag_argument: -N = Break pane to a new window
1789716900.003021 args_parse_flags: next !
1789716900.003023 args_parse: flags end at 3 of 5
1789716900.003025 args_parse: 3 = ! (type STRING)
1789716900.003026 args_parse: 4 = break-pane (type COMMANDS)
1789716900.003029 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1789716900.003031 cmdq_get_command: [bind-key/0x60e08003aeb0] group 34
1789716900.003033 cmdq_append <global>: [bind-key/0x60e08003aeb0]
1789716900.003036 yylex_token: end at WS
1789716900.003037 yylex_token: bind
1789716900.003038 yylex_token: end at WS
1789716900.003039 yylex_token: -N
1789716900.003041 yylex_token: end at WS
1789716900.003043 yylex_token: Split window vertically
1789716900.003044 yylex_token: end at WS
1789716900.003045 yylex_token: "
1789716900.003047 yylex_token: end at WS
1789716900.003048 yylex_token: split-window
1789716900.003050 cmd_parse_build_commands 0:0: bind
1789716900.003052 cmd_parse_build_commands 0:1: -N
1789716900.003053 cmd_parse_build_commands 0:2: Split window vertically
1789716900.003054 cmd_parse_build_commands 0:3: "
1789716900.003056 cmd_parse_build_commands 0:4 0:0: split-window
1789716900.003058 cmd_parse_build_commands 0:0: split-window
1789716900.003061 args_parse: flags end at 1 of 1
1789716900.003063 cmd_parse_build_commands: split-window
1789716900.003064 args_parse_flags: next -N
1789716900.003066 args_parse_flag_argument: -N = Split window vertically
1789716900.003067 args_parse_flags: next "
1789716900.003069 args_parse: flags end at 3 of 5
1789716900.003071 args_parse: 3 = " (type STRING)
1789716900.003072 args_parse: 4 = split-window (type COMMANDS)
1789716900.003075 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1789716900.003078 cmdq_get_command: [bind-key/0x60e080036a70] group 42
1789716900.003079 cmdq_append <global>: [bind-key/0x60e080036a70]
1789716900.003081 yylex_token: end at WS
1789716900.003084 yylex_token: bind
1789716900.003085 yylex_token: end at WS
1789716900.003087 yylex_token: -N
1789716900.003089 yylex_token: end at WS
1789716900.003090 yylex_token: List all paste buffers
1789716900.003091 yylex_token: end at WS
1789716900.003093 yylex_token: #
1789716900.003094 yylex_token: end at WS
1789716900.003096 yylex_token: list-buffers
1789716900.003098 cmd_parse_build_commands 0:0: bind
1789716900.003099 cmd_parse_build_commands 0:1: -N
1789716900.003100 cmd_parse_build_commands 0:2: List all paste buffers
1789716900.003102 cmd_parse_build_commands 0:3: #
1789716900.003103 cmd_parse_build_commands 0:4 0:0: list-buffers
1789716900.003106 cmd_parse_build_commands 0:0: list-buffers
1789716900.003108 args_parse: flags end at 1 of 1
1789716900.003110 cmd_parse_build_commands: list-buffers
1789716900.003111 args_parse_flags: next -N
1789716900.003112 args_parse_flag_argument: -N = List all paste buffers
1789716900.003114 args_parse_flags: next #
1789716900.003116 args_parse: flags end at 3 of 5
1789716900.003117 args_parse: 3 = # (type STRING)
1789716900.003118 args_parse: 4 = list-buffers (type COMMANDS)
1789716900.003122 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1789716900.003124 cmdq_get_command: [bind-key/0x60e080037160] group 50
1789716900.003125 cmdq_append <global>: [bind-key/0x60e080037160]
1789716900.003133 yylex_token: end at WS
1789716900.003136 yylex_token: bind
1789716900.003137 yylex_token: end at WS
1789716900.003138 yylex_token: -N
1789716900.003140 yylex_token: end at WS
1789716900.003142 yylex_token: Rename current session
1789716900.003143 yylex_token: end at WS
1789716900.003144 yylex_token: $
